date,pre,hum,tem,occ
04/06/2020 19:06,94404.33,47.61,31.43,M
25/05/2020 16:59,93882.33,49.35,32.23,M
04/06/2020 18:26,94392.58,52.88,31.48,M
04/06/2020 11:27,94690.29,60.18,30.67,M
04/06/2020 19:36,94412.9,53.02,31.52,M
24/05/2020 11:50,94257.62,53.8,31.59,H
24/05/2020 12:29,94262.33,52.98,31.37,M
25/05/2020 19:00,93780.64,48.23,32.45,M
04/06/2020 19:22,94406.06,52.35,31.44,M
25/05/2020 23:30,94174.68,50.68,32.67,M
25/05/2020 16:57,93880.03,49.94,32.24,M
04/06/2020 20:54,94493.82,48.32,31.33,M
04/06/2020 19:16,94396.04,51.42,31.43,M
24/05/2020 12:04,94259.6,53.69,31.67,M
04/06/2020 11:19,94694.78,60.27,30.65,M
26/05/2020 00:09,94333.98,53.7,31.38,M
24/05/2020 11:45,94261.88,53.7,31.57,H
24/05/2020 12:31,94258.59,52.93,31.43,M
24/05/2020 11:48,94258.54,53.79,31.56,H
15/05/2020 00:46,94337.73,60.78,30.29,M
26/05/2020 00:14,94350.22,54.85,31.23,M
15/05/2020 00:37,94340.2,60.75,30.4,M
14/05/2020 23:52,94376.69,58.2,30.91,H
29/05/2020 00:54,95250.85,46.19,31.45,M
14/05/2020 23:32,94356.86,59.31,31,H
04/06/2020 18:37,94392.09,49.83,31.48,M
04/06/2020 19:14,94394.97,51.18,31.43,M
31/05/2020 19:27,94886.75,48.1,30.68,H
24/05/2020 12:32,94257.17,53.1,31.45,M
25/05/2020 19:18,93739.61,48.69,32.53,M
04/06/2020 19:24,94409.61,52.49,31.47,M
04/06/2020 20:03,94445.19,53.73,31.61,M
14/05/2020 23:33,94361.04,59.29,31.02,H
29/05/2020 00:49,95231.36,46.03,31.55,M
15/05/2020 00:35,94341.16,60.83,30.34,M
25/05/2020 19:13,93747.06,49.15,32.48,M
31/05/2020 19:38,94929.29,54.24,29.91,M
14/05/2020 23:02,94331.44,56.51,30.93,M
24/05/2020 12:18,94253.51,53.21,31.47,M
14/05/2020 23:34,94362.79,59.19,31.03,H
31/05/2020 19:13,94840.42,48.37,30.87,H
01/06/2020 11:58,95213.31,58.71,29.34,M
25/05/2020 16:06,93932.04,51.72,32.39,M
14/05/2020 21:25,94270.21,55.37,30.91,M
04/06/2020 18:40,94392.76,50.3,31.48,M
29/05/2020 01:08,95417.79,48.97,30.87,M
04/06/2020 11:35,94689.57,60.34,30.67,M
15/05/2020 00:01,94371.57,58.73,30.98,H
29/05/2020 00:35,95138.99,49.23,31.79,M
14/05/2020 23:43,94371.63,58.16,31.02,H
28/05/2020 23:37,94988.09,42.1,31.75,M
01/06/2020 12:17,95208.33,59.03,29.2,M
24/05/2020 11:50,94257.79,53.79,31.61,H
26/05/2020 00:11,94340.25,53.92,31.4,M
26/05/2020 00:27,94325,54.85,31.63,M
14/05/2020 23:26,94356.1,59.01,31.01,H
01/06/2020 12:03,95213.9,58.49,29.51,M
15/05/2020 00:01,94373.08,58.72,30.96,H
25/05/2020 16:18,93905.48,50.36,32.27,M
24/05/2020 12:03,94260.66,53.76,31.66,M
04/06/2020 18:32,94392.1,50.89,31.48,M
25/05/2020 16:48,93888.57,49.05,32.15,M
25/05/2020 18:57,93777.32,48.18,32.44,M
24/05/2020 11:49,94257.33,53.8,31.57,H
25/05/2020 16:28,93904.93,50.89,32.18,M
15/05/2020 00:48,94339.4,60.79,30.3,M
31/05/2020 19:16,94835.94,48.01,30.87,H
25/05/2020 16:21,93908.87,49.88,32.15,M
24/05/2020 12:30,94260.56,52.82,31.39,M
29/05/2020 01:01,95270.87,44.38,31.45,M
04/06/2020 19:09,94400.24,49.41,31.41,M
24/05/2020 12:13,94251.07,53.59,31.6,M
14/05/2020 23:08,94347.12,56.86,30.99,M
24/05/2020 12:42,94247.53,54.5,31.63,M
25/05/2020 16:22,93910.88,49.85,32.14,M
31/05/2020 19:14,94840.37,48.32,30.91,H
29/05/2020 00:11,95108.98,41.77,31.97,M
14/05/2020 23:14,94350.05,57.15,31.05,M
25/05/2020 16:32,93900.79,50.2,32.19,M
26/05/2020 00:01,94319.09,51.75,31.5,M
25/05/2020 16:42,93902.25,50.46,32.16,M
25/05/2020 16:51,93884.18,49.15,32.14,M
04/06/2020 18:50,94403.93,49.2,31.44,M
25/05/2020 16:34,93903.72,49.97,32.12,M
25/05/2020 16:38,93900.55,49.73,32.1,M
25/05/2020 16:20,93912.03,49.98,32.21,M
26/05/2020 00:28,94328.12,54.36,31.69,M
04/06/2020 19:43,94425.67,53.88,31.56,M
04/06/2020 18:16,94391.47,54.73,31.46,M
25/05/2020 20:34,93891.12,45.02,32.53,M
15/05/2020 00:27,94350.48,60.26,30.46,M
31/05/2020 19:41,94937.85,54.92,29.87,M
04/06/2020 18:14,94394.81,54.86,31.46,M
25/05/2020 17:00,93880.9,49.09,32.25,M
25/05/2020 19:14,93744.23,49.08,32.48,M
25/05/2020 23:35,94182.02,51.09,32.49,M
25/05/2020 23:37,94191.5,51.26,32.44,M
25/05/2020 23:36,94188.38,50.75,32.44,M
04/06/2020 19:21,94402.6,52.26,31.41,M
25/05/2020 19:36,93773.02,44.43,32.55,M
28/05/2020 23:30,94946.77,42.66,31.68,M
25/05/2020 16:12,93919.69,51.01,32.37,M
04/06/2020 20:58,94495.03,47.34,31.27,M
29/05/2020 01:06,95352.01,44.84,31.27,M
25/05/2020 17:04,93870.61,48.26,32.25,M
04/06/2020 19:33,94413.4,53.04,31.53,M
04/06/2020 19:23,94405.62,52.43,31.47,M
04/06/2020 11:25,94692.24,60.24,30.64,M
24/05/2020 12:11,94252.86,53.59,31.65,M
25/05/2020 18:49,93777.42,48.32,32.37,M
14/05/2020 23:07,94344.38,56.79,30.95,M
